"taxon_name","accepted_name","ref_author","ref_pubyr","primary_reference","phylum","class","order","family","genus","reference_no","taxon_no","data_enterer","zoobank","ref_language","group","taxon_status","type_locality","type_country","country_reposited","institution_reposited","holotype_number..separate.by...if.multiple.","sp_named_after","sp_language..if.another.language.but.latin.used.","sp_if_person_name","sp_if_person_gender","sp_gender_notes","sp_if_person_country","sp_if_person_country_notes","sp_notes","gen_named_after","gen_language..if.another.language.but.latin.used.","gen_if_person_name","gen_if_person_gender","gen_gender_notes","gen_if_person_country","gen_if_person_country_notes","gen_notes","affiliations_of_authors..separated.by...","countries_of_authors..separated.by...","modified.by","data_from_alternative_source","comments","genus_cleaned","category"
"Oksoko avarsan","Oksoko avarsan","Funston et al.",2020,"G. F. Funston, T. Chinzorig, and K. Tsogtbaatar, Y. Kobayashi, C. Sullivan, P. J. Currie. 2020. A new two-fingered dinosaur sheds light on the radiation of Oviraptorosauria. Royal Society Open Science 7(104643):201184:1-15","Chordata","Saurischia","Avetheropoda","Oviraptoridae","Oksoko",74873,430729,"William Foster","urn:lsid:zoobank.org:act:4B9B99B5-08DF-44C9-8D95-2DC1F14E1452","","dinosauria","valid","Bugiin Tsav and Guriliin Tsav, Nemegt Basin. ","Mongolia","Mongolia","Institute of Paleontology, Mongolia","(MPC-D) 102/110a","other","Mongolian","","","","","","The specific name avarsan is from the Mongolian word ‘аварсан’ (avarsan: rescued), reflecting their confiscation from poachers and/or smugglers.","folklore/religion","Altaic","","","","","","Oksoko (pronounced ‘Oak-soak-oh’) from the three-headed eagle of Altaic mythology, in reference to the fact that the holotype assemblage preserves three skulls.","UK (GFF); Canada (GFF); Japan (TC); Mongolia (TC); Japan (KT); Japan (YK); Canada (CS); Canada (PJC)","UK (GFF); Canada (GFF); Japan (TC); Mongolia (TC); Japan (KT); Japan (YK); Canada (CS); Canada (PJC)","",FALSE,"NB - Altaic is a language family, and Öksökö is the name of the eagle in diverse members of that family, from the Yakut and Dolgan people to Turkish.","Oksoko","sp"
"Oligosaurus adelus","Rhabdodon priscus","Seeley",1881,"H. G. Seeley. 1881. The reptile fauna of the Gosau Formation preserved in the Geological Museum of the University of Vienna. Quarterly Journal of the Geological Society of London 37(148):620-707","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Rhabdodontidae","Oligosaurus",12806,NA,"Nussaïbah B. Raja","","","dinosauria","junior","Grünbach Formation","Austria","Austria","University of Vienna","","unknown","Greek","","","","","","Greek, adelos, ""concealed"", ""obscure""","in relation to other taxa","Greek","","","","","","""small lizard"", in reference to its relative size","UK","UK","",TRUE,"Genus from Creisler's Dinosauria Translation Guide","Oligosaurus","sp"
"Olorotitan arharensis","Olorotitan arharensis","Godefroit et al.",2003,"P. Godefroit, Y. Bolotsky, and V. Alifanov. 2003. A remarkable hollow-crested hadrosaur from Russia: an Asian origin for lambeosaurines. Comptes Rendus Palevol 2:143-151","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Olorotitan",16832,72095,"Thomas Halliday","","French","dinosauria","valid","Kundur, Amur","Russia","Russia","Amur Natural History Museum","AEHM 2/845","location/geography","","","","","","","Named for the region of Arhara, where the holotype was discovered","in relation to other taxa","","","","","","","""giant swan"", in reference to the very long neck","Belgium; Russia; Russia","Belgium; Russia; Russia","",FALSE,"","Olorotitan","sp"
"Omeisaurus junghsiensis","Omeisaurus junghsiensis","Young",1939,"C.-C. Young. 1939. On a new Sauropoda, with notes on other fragmentary reptiles from Szechuan. Bulletin of the Geological Society of China 19(3):279-315","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Omeisaurus",12538,56461,"Thomas Halliday","","English","dinosauria","valid","East of the river running N-S from Junghsien city, below a cliff","China","China","Institute of Vertebrate Paleontology and Paleoanthropology"," IVPP holotype 103.0","location/geography","","","","","","","""From Junghsien city"", which is now Rongxian, part of Zigong, in Sichuan","location/geography","","","","","","","After the sacred mountain Omeishan, about 100km west of the site","China","China","",FALSE,"","Omeisaurus","sp"
"Omeisaurus changshouensis","Omeisaurus changshouensis","Young",1958,"C.-C. Young. 1958. New sauropods from China. Vertebrata PalAsiatica 2(1):1-28","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Omeisaurus",15533,56467,"William Foster",NA,"English","dinosauria","valid","Mountzenhan, Szetzetan, Changshouhsien","China","China","Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences","IVPP V930","location/geography","","","","","","","","location/geography","","","","","","","After the sacred mountain Omeishan, about 100km west of the site","China","China","",FALSE,"","Omeisaurus","sp"
"Omeisaurus tianfuensis","Omeisaurus tianfuensis","He et al.",1984,"X. He, K. Li, and K. Cai, Y. Gao. 1984. [Omeisaurus tianfuensis—a new species of Omeisaurus from Dashanpu, Zigong, Sichuan]. Journal of Chengdu College of Geology 1984(suppl. 2):13-32","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Omeisaurus",28524,56462,"William Foster",NA,"Chinese","dinosauria","valid","Dashanpu, Zigong, Sichuan","China","China","Zigong Dinosaur Museum","T5701","location/geography","","","","","","","","location/geography","","","","","","","After the sacred mountain Omeishan, about 100km west of the site","China; China; China; China","China; China; China; China","",FALSE,"","Omeisaurus","sp"
"Omeisaurus luoquanensis","Omeisaurus luoquanensis","He et al.",1988,"X. He, K. Li, and K. Cai. 1988. The Middle Jurassic dinosaur fauna from Dashanpu, Zigong, Sichuan.  Vol. IV.  Sauropod dinosaurs (2).  Omeisaurus tianfuensis. Sichuan Publishing House of Science and Technology","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Omeisaurus",28519,65669,"William Foster/Nussaïbah B. Raja","","","dinosauria","valid","Luoquan Village, Zizhong County, Sichuan (Szechwan) Province","China","China","Institute of Vertebrate Paleontology and Paleoanthropol","IVPP V.21501","location/geography","","","","","","","In reference to Luoquan Village, Sichuan Province, China, were the specimen was discovered.","location/geography","","","","","","","After the sacred mountain Omeishan, about 100km west of the site","China","China","",FALSE,"","Omeisaurus","sp"
"Omeisaurus maoianus","Omeisaurus maoianus","Tang et al.",2001,"F. Tang, X.-S. Jin, and X.-M. Kang, G.-J. Zhang. 2001. Omeisaurus maoianus: a complete Sauropoda from Jingyan, Sichuan","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Omeisaurus",42507,91402,"William Foster","","","dinosauria","valid","lower Shaximiao Formation of Sichuan Province","China","China","Zigong Dinosaur Museum","ZNM N8510","person","","Mao Zhaoxi","","","China","explicitly stated in paper","In honor of Professor Mao Zhaoxi in Zhejiang University, who is the former director of Cultural Bureau of Zhejiang Province, China and provides important support on this work.","location/geography","","","","","","","After the sacred mountain Omeishan, about 100km west of the site","","","",FALSE,"","Omeisaurus","sp"
"Omeisaurus jiaoi","Omeisaurus jiaoi","Jiang et al.",2011,"S. Jiang, F. Li, and G.-Z. Peng, Y. Ye. 2011. [A new species of Omeisaurus from the Middle Jurassic of Zigong, Sichuan]. Vertebrata PalAsiatica 49(2):185-194","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Omeisaurus",37503,198888,"Thomas Halliday","","Chinese","dinosauria","valid","Dashanpu, Zigong","China","China","Zigong Dinosaur Museum","ZDM 5050","person","N/A","Jiao Zheng","","","China","inferred from paper","Leader of the expedition from the Zigong Dinosaur Museum","location/geography","Chinese","","","","","","Mount Emei lizard, a sacred Buddhist mountain","China; China; China","China; China; China","",FALSE,"","Omeisaurus","sp"
"Omeisaurus puxiani","Omeisaurus puxiani","Tan et al.",2020,"C. Tan, M. Xiao, and H. Dai, X.-F. Hu, N. Li, Q.-Y. Ma, Z.-Y. Wei, H.-D. Yu, C. Xiong, G.-Z. Peng, S. Jiang, X.-X. Ren, H.-L. You. 2020. A new species of Omeisaurus (Dinosauria: Sauropoda) from the Middle Jurassic of Yunyang, Chongqing, China. Historical Biology","Chordata","Saurischia","Sauropoda","Mamenchisauridae","Omeisaurus",72052,414477,"Nussaïbah B. Raja","urn:lsid:zoobank.org:act:7BEC5EF3-FE8E-456F-AA18-F7EC516E3295","","dinosauria","valid","Shaximiao Formation, Laojun  Village,  Pu’anTown,  Yunyang  County,  Chongqing Municipality","China","China","Chongqing Laboratory of Geoheritage Protection and Research","CLGRP V00005","folklore/religion","Chinese","","","","China","","""The specific name is after Samantabhadra (Pu Xianin Chinese, the Bodhisattva of Emei Mountain in the Sichuan Basin)""","location/geography","","","","","","","Mount Emei, where it was discovered in the lower Shaximiao Formation of Sichuan Province. ","China","China","Emanuel Tschopp",FALSE,"","Omeisaurus","sp"
"Omnivoropteryx sinousaorum","Omnivoropteryx sinousaorum","Czerkas and Ji",2002,"S. A. Czerkas and Q. Ji. 2002. A preliminary report on an omnivorous volant bird from northeast China.  In S. J. Czerkas (ed.), Feathered Dinosaurs and the Origin of Flight. The Dinosaur Museum Journal 1. The Dinosaur Museum, Blanding, UT","Chordata","Aves","Omnivoropterygiformes","Omnivoropterygidae","Omnivoropteryx",33219,169943,"William Foster; Thomas Wong Hearing","","","aves","recombined","Chaoyang City, Chaoyang County, Liaoning Province","China","China","Chinese Academy of Geological Sciences","CAGS02-IG-gausa-3/DM 609","group","Latin","","","","","","In reference to China and the United States of America and Latin, -oroum; for representing a multiple number of people, to signify the cooperation between the people of both nations.","morphological characteristics","","","","","","","""Omnivorous wing""","","","N Raja",TRUE,"TWWH: not sure if this is a peer-reviewed publication or not; TJDH - Genus etymology from Holtz (2007) appendix","Omnivoropteryx","sp"
"Omosaurus armatus","Dacentrurus armatus","Owen",1875,"R. Owen. 1875. Monographs on the fossil Reptilia of the Mesozoic formations. Part II. (Genera Bothriospondylus, Cetiosaurus, Omosaurus).. London: The Palaeontographical Society. 29:15-93","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Stegosauridae","Omosaurus",14124,NA,"Nussaïbah B. Raja","","","","recombined","","","","","","","","","","","","","","morphological characteristics","Greek","","","","","","""rough"", perhaps in reference to the rough surface of the scute","UK","UK","",TRUE,"","Omosaurus","sp"
"Omosaurus lennieri","Dacentrurus armatus","Nopcsa",1911,"B. F. Nopcsa. 1911. Omosaurus lennieri, un nouveau dinosaurien du Cap de la Hève [Omosaurus lennieri, a new dinosaur from Cap de la Hève]. Bulletin de la Société Géologique de Normandie 30:23-42","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Stegosauridae","Omosaurus",53021,NA,"Nussaïbah B. Raja","","","dinosauria","junior","Argiles d'Octeville Formation","France","France","Musée National d'Histoire Naturelle","MNHN A","person","","Gustave Lennier","male","assumed from ending","France","retrieved from external source","naturalist and geologist, museum curator","morphological characteristics","Greek","","","","","","""forelimb lizard"", because of the unusual development of the humerus","Austria","Austria","",TRUE,"Genus from Creisler's Dinosauria Translation Guide","Omosaurus","sp"
"Oobardjidama foulkesi","Oobardjidama foulkesi","Salisbury et al.",2016,"S. W. Salisbury, A. Romilio, and M. C. Herne, R. T. Tucker, J. P. Nair. 2016. The Dinosaurian Ichnofauna of the Lower Cretaceous (Valanginian–Barremian) Broome Sandstone of the Walmadany Area (James Price Point), Dampier Peninsula, Western Australia. Society of Vertebrate Paleontology Memoir 16. Journal of Vertebrate Paleontology 36(6, suppl.):1-152","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Oobardjidama",62321,353502,"William Foster",NA,"","trace","valid","intertidal zone of the Yanijarri-Lurujarri section of the Dampier Peninsula, in the west Kimberley region of Western Australia","Australia","Australia","Western Australian Museum","WAM 12.1.6","person","N/A","Paul Foulkes","male","assumed from ending","Australia","inferred from paper","The ichnospecies name honors the late Paul Foulkes one of the Dampier Peninsula's pioneering dinosaur trackers and the first person to recognize sauropod tracks in the Broome Sandstone.","morphological characteristics","Nyulnyulan ","","","","","","Oobar’ [u: baɽ] and ‘djidama’ [djidama] are Nyulnyulan words for ‘little’ and ‘thunder,’ respectively, and are used in reference to the small size of the pedal impression relative to some of the larger sauropod tracks that occur in the Broome Sandstone.","Australia (SWS); Australia (AR); Australia (MCH); Australia (RTT);  South Africa (RTT); Australia (JPN)","Australia (SWS); Australia (AR); Australia (MCH); Australia (RTT);  South Africa (RTT); Australia (JPN)","",FALSE,"","Oobardjidama","sp"
"Oohkotokia horneri","Oohkotokia horneri","Penkalski",2014,"P. Penkalski. 2014. A new ankylosaurid from the late Cretaceous Two Medicine Formation of Montana, USA. Acta Palaeontologica Polonica","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ankylosauridae","Oohkotokia",44665,257758,"Thomas Halliday","urn:lsid:zoobank.org:act:6F89F9C1-9503-4066-BCAC-3AD7CC93E4CA","","dinosauria","valid","MOR Locality TM-034, northwest of Cut Bank, Montana","USA","USA","Museum of the Rockies","MOR 433","person","N/A","John R. Horner (Jack Horner)","","","USA","retrieved from external source","""for his work on dinosaurs from Montana""","morphological characteristics","Blackfoot","","","","","","""Child of stone"", in reference to the heavy armour. ""honours the Blackfeet people on whose land the specimen was found""","USA","USA","",FALSE,"The species name, being in a language that few understand, includes a recommended IPA pronunciation. I think this is great.","Oohkotokia","sp"
"Opisthocoelicaudia skarzynskii","Opisthocoelicaudia skarzynskii","Borsuk-Bialynicka",1977,"M. Borsuk-Bialynicka. 1977. A new camarasaurid sauropod <i>Opisthocoelicaudia skarzynskii</i> gen. n., sp. n. from the Upper Cretaceous of Mongolia. Palaeontologia Polonica 37:5-64","Chordata","Saurischia","NO_ORDER_SPECIFIED","Saltasauridae","Opisthocoelicaudia",9904,57335,"Thomas Halliday","","English","dinosauria","valid","Altan Ula IV, Nemegt, Gobi","Mongolia","Poland","Institute of Paleobiology, Polish Academy of Sciences, Warsaw","ZPAL MgD-I/48","person","","Mr Wojciech Skarzynski","male","based on paper","Poland","explicitly stated in paper","""who prepared the specimen""","morphological characteristics","Greek","","","","","","""because of the opisthocoelian structures of the anterior caudals""","Poland","Poland","",FALSE,"","Opisthocoelicaudia","sp"
"Oplosaurus armatus","Oplosaurus armatus","Gervais",1859,"P. Gervais. 1859. Zoologie et Paléontologie Françaises. Nouvelles Recherches sur les Animaux Vertébrés dont on Trouve les Ossements Enfouis dans le Sol de la France et sur leur Comparaison aves les Espèces Propres aux Autres Régions du Globe (Deuxième Edition) [French Zoology and Paleontology. New Research on Vertebrate Animals Whose Bones Are Found Buried in the Soil of France and their Comparison with Species Specific to Other Regions of the Globe (Second Edition)]","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Oplosaurus",12784,67037,"Thomas Halliday","","French","dinosauria","valid","""Brighton Bay, Isle of Wight"" should be Brixton Bay","UK","UK","Natural History Museum, London","BMNH R.964","morphological characteristics","","","","","","","""armoured""","morphological characteristics","Greek","","","","","","""Weapon lizard"" from ""hoplon""","France","France","",FALSE,"Species erected on the basis of a specimen described by M. Wright (1852) Ann. Mag Nat His.","Oplosaurus","sp"
"Ordexallopus zhanglifui","Ordexallopus zhanglifui","Lockley et al.",2018,"M. G. Lockley, J. Li, and L. Xing, B. Guo, M. Matsukawa. 2018. Large theropod and small sauropod trackmakers from the Lower Cretaceous Jingchuan Formation, Inner Mongolia, China. Cretaceous Research 92:150-167","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ordexallopus",76735,436918,"","","","trace","","","","","","","","","","","","","","","","","","","","","","","","","",FALSE,"","Ordexallopus","sp"
"Orienantius ritteri","Orienantius ritteri","Liu et al.",2019,"D. Liu, L. M. Chiappe, and Y.-G. Zhang, F. J. Serrano, Q.-J. Meng. 2019. Soft tissue preservation in two new enantiornithine specimens (Aves) from the Lower Cretaceous Huajiying Formation of Hebei Province, China. Cretaceous Research 95:191-207","Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Orienantius",69699,391374,"Bryan Gee","","","aves","valid","Sichakou basin, Fengning county, northern Hebei Province","China","China","Beijing Museum of Natural History","BMNHC Ph 1156a/b","person","N/A","Johann Wilhelm Ritter","","","Germany (Silesia)","retrieved from external source","""The species name ritteri honors Polish-born physicist Johann Wilhelm Ritter whose discovery of ultraviolet light has allowed visualization of the soft tissues that are extraordinarily well-preserved in these new fossils.""","in relation to other taxa","","","","","","","""Orien from the Latin word for ‘dawn’ and enantius in reference to the clade Enantiornithes""","China (DL); USA (LMC); China (YZ); USA (FJS); Spain (FJS); China (QM)","China (DL); USA (LMC); China (YZ); USA (FJS); Spain (FJS); China (QM)","",FALSE,"","Orienantius","sp"
"Orkoraptor burkei","Orkoraptor burkei","Novas et al.",2008,"F. E. Novas, M. D. Ezcurra, and A. Lecuona. 2008. Orkoraptor burkei nov. gen. et sp., a large theropod from the Maasdtrichtian Pari Aike Formation, southern Patagonia, Argentina. Cretaceous Research 29(3):468-480","Chordata","Saurischia","Avetheropoda","Megaraptoridae","Orkoraptor",27164,122476,"Bryan Gee","","English","dinosauria","valid","Los Hornos Hill, southern coast of Viedma Lake, SW Santa Cruz Province","Argentina","Argentina","Museo Padre Molina Paleontología de Vertebrados, Río Gallegos, Santa Cruz","MPM-Pv 3457","person","N/A","Coleman Burke","","","USA","explicitly stated in paper","Burkei, in honour to Coleman Burke, an American amateur geologist and paleontologist, who loves Patagonia and kindly supported our explorations in Argentina.","location/geography","Aoniken","","","","","","Orr-Korr (“Toothed River”), name applied by Aoniken Patagonian native people to the La Leona River, which runs not far from the fossil site; and raptor, “thief” in Latin.","Argentina (FEN); Argentina (FEN); Argentina (MDE); Argentina (AL); Argentina (AL)","Argentina (FEN); Argentina (FEN); Argentina (MDE); Argentina (AL); Argentina (AL)","",FALSE,"","Orkoraptor","sp"
"Ornatops incantatus","Ornatops incantatus","McDonald et al.",2021,"A. T. McDonald, D. G. Wolfe, and E. A. Freedman Fowler, T. A. Gates. 2021. A new brachylophosaurin (Dinosauria: Hadrosauridae) from the Upper Cretaceous Menefee Formation of New Mexico. PeerJ 9:e11084:1-28","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Ornatops",76218,435345,"Nussaïbah B. Raja"," urn:lsid:zoobank.org:act:B8A6F41B-0D0B-4D48-8D9B8CF196458ABB","","dinosauria","valid","San Juan County, New Mexico","USA","USA","Western Science Center","WSC 10058","location/geography","","","","","","","a Latin word meaning “enchanted”, referring to the State of New Mexico, where the holotype was collected and which carries the motto “Land of Enchantment”","morphological characteristics","","","","","","","derived from the Latin word ornatus (ornate) and the Greek ops (face), in reference to the elaborate nasofrontal suture.","USA","USA","",FALSE,"","Ornatops","sp"
"Ornatotholus browni","Stegoceras validum","Galton and Sues",1983,"W. P. Wall and P. M. Galton. 1979. Notes on pachycephalosaurid dinosaurs (Reptilia: Ornithischia) from North America, with comments on their status as ornithopods. Canadian Journal of Earth Sciences 16:1176-1186","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ornatotholus",12772,NA,"William Foster",NA,"English","dinosauria","junior","left bank 75 ft (21.9 m) above the Red Deer River, 1 mi (1.6 km) below Steveville, Alberta","Canada","USA","American Museum of Natural History","AMNH 5450","person","","Barnum Brown","male","assumed from ending","USA","retrieved from external source","collector of the fossil","morphological characteristics","Latin","","","","","","From ornatus (Latin), adorned; tholus (Latin), dome; in allusion to the tuberculate omamentation on the somewhat thickened skull roof.","USA","USA","",FALSE,"","Ornatotholus","sp"
"Ornithoides oshiensis","Ornithoides oshiensis","Osborn",1924,"H. F. Osborn. 1924. The discovery of an unknown continent. Natural History 24(2):133-149","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ornithoides",13076,65171,"Thomas Halliday","","","dinosauria","nomen nudum","Shabarakh Usu, Mongolia","Mongolia","USA","American Museum of Natural History","AMNH 6516","location/geography","","","","","","","From the Oshih Formation","in relation to other taxa","Greek","","","","","","""Bird-like""","USA","USA","",FALSE,"Now Saurornithoides mongoliensis","Ornithoides","sp"
"Ornitholestes hermanni","Ornitholestes hermanni","Osborn",1903,"H. F. Osborn. 1903. Ornitholestes hermanni, a new compsognathoid dinosaur from the Upper Jurassic. Bulletin of the American Museum of Natural History 19(12):459-464","Chordata","Saurischia","Avetheropoda","Compsognathidae","Ornitholestes",9630,55484,"Thomas Halliday","","","dinosauria","valid","Bone Cabin Quarry, Wyoming","USA","USA","American Museum of Natural History","AMNH 619","person","","Adam Hermann","","","USA","retrieved from external source","Preparator of the specimen and in honour of his ""many services to vertebrate paleontology""","behavioural characteristics","Greek","","","","","","""The animal may have been adapted to the pursuit of the Jurassic birds"", hence ""bird robber""","USA","USA","",FALSE,"","Ornitholestes","sp"
"Ornithomerus gracilis","Rhabdodon priscus","Seeley",1881,"H. G. Seeley. 1881. The reptile fauna of the Gosau Formation preserved in the Geological Museum of the University of Vienna. Quarterly Journal of the Geological Society of London 37(148):620-707","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Rhabdodontidae","Ornithomerus",12806,NA,"Nussaïbah B. Raja","","","dinosauria","junior","Gute Hoffnung mine at Muthmannsdorf ","Austria","Austria","University of Vienna","PIUW 2349/3","morphological characteristics","Latin","","","","","","Latin, gracilis, ""slender.""","in relation to other taxa","Greek","","","","","","""bird femur"", because the femur was cylindrical and bird-like","UK","UK","",TRUE,"Genus from Creisler's Dinosauria Translation Guide","Ornithomerus","sp"
"Ornithomimipus angustus","Ornithomimipus angustus","Sternberg",1926,"C. M. Sternberg. 1926. Dinosaur tracks from the Edmonton Formation of Alberta. Canada Department of Mines Geological Survey Bulletin (Geological Series) 44(46):85-87","Chordata","Saurischia","Avetheropoda","Ornithomimipodidae","Ornithomimipus",12111,63445,"Thomas Halliday","","English","trace","valid","Rumsey Tracksite, Horseshoe Canyon Formation","Canada","Canada","National Museum of Canada","NMC 8513","morphological characteristics","","","","","","","""narrow""","in relation to other taxa","","","","","","","A supposed footprint of an Ornithomimus","USA; Canada","USA; Canada","",FALSE,"","Ornithomimipus","sp"
"Ornithomimipus jaillardi","Ornithomimipus jaillardi","Jaillard et al.",1993,"E. Jaillard, H. Cappetta, and P. Ellenberger, M. Feist, N. Grambast-Fessard, J. P. Lefranc, B. Sigé. 1993. Sedimentology, palaeontology, biostratigraphy and correlation of the Late Cretaceous Vilquechico Group of southern Peru. Cretaceous Research 14:623-661","Chordata","Saurischia","Avetheropoda","Ornithomimipodidae","Ornithomimipus",32443,165601,"William Foster",NA,"English","trace","valid","Vilquechico","Peru","in situ","in situ","in situ","person","","Etienne Jaillard","male","assumed from ending","","","he is also the lead author, but wa snamed by another author","in relation to other taxa","","","","","","","A supposed footprint of an Ornithomimus","France; France; France; France; France; France; France","France; France; France; France; France; France; France","",FALSE,"Neocolonialism case study?","Ornithomimipus","sp"
"Ornithomimus tenuis","Ornithomimus tenuis","Marsh",1890,"O. C. Marsh. 1890. Description of new dinosaurian reptiles. The American Journal of Science, series 3 39:81-86","Chordata","Saurischia","Avetheropoda","Ornithomimidae","Ornithomimus",12250,57594,"Thomas Halliday","urn:lsid:zoobank.org:act:3DFEFECD-32FA-4289-AAE9-3329B3D736A6","","dinosauria","valid","Cow Island, Judith River, Montana","USA","USA","Smithsonian Museum of Natural History, Washington","USNM 5814","morphological characteristics","","","","","","","""weak""","in relation to other taxa","Greek and Latin","","","","","","""Bird mimic""","USA","USA","",FALSE,"Species named as simply smaller versions of O. velox from the same beds. The type specimen is not the one from this paper.","Ornithomimus","sp"
"Ornithomimus velox","Ornithomimus velox","Marsh",1890,"O. C. Marsh. 1890. Description of new dinosaurian reptiles. The American Journal of Science, series 3 39:81-86","Chordata","Saurischia","Avetheropoda","Ornithomimidae","Ornithomimus",12250,57269,"Thomas Halliday","urn:lsid:zoobank.org:act:92CAA3E6-6985-4C1D-99A8-7E7EC5827D24","","dinosauria","valid","Beaver Creek Valley, Denver Fm, Colorado","USA","USA","Yale Peabody Museum","YPM 542","behavioural characteristics","","","","","","","""swift""","in relation to other taxa","Greek and Latin","","","","","","""Bird mimic""","USA","USA","",FALSE,"","Ornithomimus","sp"
"Ornithomimus minutus","Ornithomimus minutus","Marsh",1892,"O. C. Marsh. 1892. Notice of new reptiles from the Laramie Formation. American Journal of Science 43:449-453","Chordata","Saurischia","Avetheropoda","Ornithomimidae","Ornithomimus",9095,54236,"Thomas Halliday","","","dinosauria","nomen dubium","Peterson's County","USA","USA","Yale Peabody Museum","YPM 1049","size","","","","","","","""small"", compared with other Ornithomimus species","in relation to other taxa","Greek and Latin","","","","","","""Bird mimic""","USA","USA","",FALSE,"Novas 1996 - the type specimen is of uncertain assignment","Ornithomimus","sp"
"Ornithomimus altus","Struthiomimus altus","Lambe",1902,"L. M. Lambe. 1902. New genera and species from the Belly River Series (mid-Cretaceous). Geological Survey of Canada Contributions to Canadian Palaeontology 3(2):25-81","Chordata","Saurischia","Avetheropoda","Ornithomimidae","Ornithomimus",25127,NA,"Nussaïbah B. Raja","","","","recombined","","","","","","","","","","","","","","in relation to other taxa","Greek and Latin","","","","","","""Bird mimic""","Canada","Canada","",FALSE,"duplicate","Ornithomimus","sp"
"Ornithomimus asiaticus","Archaeornithomimus asiaticus","Gilmore",1933,"C. W. Gilmore. 1933. On the dinosaurian fauna of the Iren Dabasu Formation. Bulletin of the American Museum of Natural History 68(2-3):23-78","Chordata","Saurischia","Avetheropoda","Ornithomimidae","Ornithomimus",13061,NA,"Nussaïbah B. Raja","","","","recombined","","","","","","","","","","","","","","in relation to other taxa","Greek and Latin","","","","","","""Bird mimic""","USA","USA","",FALSE,"duplicate","Ornithomimus","sp"
"Ornithomimus edmontonicus","Ornithomimus edmontonicus","Sternberg",1933,"C. M. Sternberg. 1933. A new Ornithomimus with complete abdominal cuirass. The Canadian Field-Naturalist 47(5):79-83","Chordata","Saurischia","Avetheropoda","Ornithomimidae","Ornithomimus",12105,63438,"Thomas Halliday","","English","dinosauria","valid","Morrin, Alberta","Canada","Canada","Geological Survey of Canada","GSC 8632","location/geography","English","","","","","","Edmonton, Canada","in relation to other taxa","Greek and Latin","","","","","","""Bird mimic""","Canada","Canada","",FALSE,"","Ornithomimus","sp"
"Ornithomimus elegans","Citipes elegans","Parks",1933,"W. A. Parks. 1933. New species of dinosaurs and turtles from the Upper Cretaceous formations of Alberta. University of Toronto Studies, Geological Series 34:1-33","Chordata","Saurischia","Avetheropoda","Caenagnathidae","Ornithomimus",14110,NA,"Nussaïbah B. Raja","","","","recombined","","","","","","","","","","","","","","in relation to other taxa","Greek and Latin","","","","","","""Bird mimic""","Canada","Canada","",FALSE,"duplicate","Ornithomimus","sp"
"Ornithopsis hulkei","Ornithopsis hulkei","Seeley",1870,"H. G. Seeley. 1870. On Ornithopsis, a gigantic animal of the pterodactyle kind from the Wealden. Annals and Magazine of Natural History, series 4 5:279-283","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ornithopsis",36747,54173,"Thomas Halliday","","English","dinosauria","valid","Two localities - ""Tilgate and the Isle of Wight""","UK","UK","Natural History Museum, London","BMNH 28632","person","","John Hulke","","","UK","retrieved from external source","Friend of Seeley otherwise not associated with fossil","in relation to other taxa","Greek","","","","","","""Bird-like""","UK","UK","",FALSE,"Originally described as a pterosaur, actually a titanosaur.","Ornithopsis","sp"
